timestamp,machine_id,speed_board_per_min,fault_code,counter_total,feeder_status,temperature_c,vibration_mm_s,oee_percent
2024-01-15 00:00:00,MC001,79.6,0,28414,RUNNING,71.5,1.7,78.0
2024-01-15 00:00:00,MC002,109.6,0,26547,RUNNING,80.4,1.8,82.6
2024-01-15 00:00:00,MC003,72.8,0,20856,RUNNING,64.1,1.9,75.1
2024-01-15 00:05:00,MC001,80.8,0,28818,RUNNING,68.6,2.4,79.2
2024-01-15 00:05:00,MC002,100.4,0,27049,RUNNING,73.8,2.1,75.7
2024-01-15 00:05:00,MC003,76.0,0,21236,RUNNING,65.0,2.5,78.4
2024-01-15 00:10:00,MC001,80.4,0,29220,RUNNING,69.0,1.7,78.8
2024-01-15 00:10:00,MC002,100.8,0,27553,RUNNING,81.9,1.2,76.0
2024-01-15 00:10:00,MC003,80.2,0,21637,RUNNING,69.9,1.8,82.7
2024-01-15 00:15:00,MC001,78.8,0,29614,RUNNING,71.8,1.2,77.2
2024-01-15 00:15:00,MC002,115.1,0,28128,RUNNING,78.0,2.2,86.8
2024-01-15 00:15:00,MC003,72.9,0,22001,RUNNING,65.7,2.8,75.2
2024-01-15 00:20:00,MC001,82.0,0,30024,RUNNING,68.7,2.3,80.4
2024-01-15 00:20:00,MC002,111.6,0,28686,RUNNING,77.1,1.8,84.1
2024-01-15 00:20:00,MC003,78.1,0,22391,RUNNING,67.0,2.3,80.6
2024-01-15 00:25:00,MC001,87.6,0,30462,RUNNING,75.0,2.0,85.8
2024-01-15 00:25:00,MC002,108.5,0,29228,RUNNING,75.0,1.6,81.8
2024-01-15 00:25:00,MC003,72.9,0,22755,RUNNING,68.9,2.2,75.2
2024-01-15 00:30:00,MC001,81.0,0,30867,RUNNING,67.7,1.4,79.4
2024-01-15 00:30:00,MC002,105.0,0,29753,RUNNING,74.4,2.6,79.2
2024-01-15 00:30:00,MC003,82.9,0,23169,RUNNING,66.7,1.9,85.5
2024-01-15 00:35:00,MC001,78.0,0,31257,RUNNING,76.7,1.7,76.4
2024-01-15 00:35:00,MC002,100.8,0,30257,RUNNING,76.7,1.8,76.0
2024-01-15 00:35:00,MC003,79.9,0,23568,RUNNING,67.3,2.4,82.4
2024-01-15 00:40:00,MC001,83.2,0,31673,RUNNING,75.5,1.7,81.5
2024-01-15 00:40:00,MC002,108.3,0,30798,RUNNING,71.3,2.3,81.6
2024-01-15 00:40:00,MC003,76.8,0,23952,RUNNING,66.2,2.4,79.2
2024-01-15 00:45:00,MC001,88.3,0,32114,RUNNING,75.4,2.4,86.5
2024-01-15 00:45:00,MC002,108.7,0,31341,RUNNING,75.5,0.9,81.9
2024-01-15 00:45:00,MC003,75.4,0,24329,RUNNING,69.9,1.6,77.8
2024-01-15 00:50:00,MC001,78.8,0,32508,RUNNING,72.0,2.2,77.2
2024-01-15 00:50:00,MC002,111.0,0,31896,RUNNING,78.3,0.9,83.7
2024-01-15 00:50:00,MC003,76.3,0,24710,RUNNING,60.7,1.9,78.7
2024-01-15 00:55:00,MC001,79.4,0,32905,RUNNING,74.3,2.4,77.8
2024-01-15 00:55:00,MC002,99.7,0,32394,RUNNING,76.6,1.9,75.2
2024-01-15 00:55:00,MC003,73.5,0,25077,RUNNING,69.0,2.1,75.8
2024-01-15 01:00:00,MC001,86.6,0,33338,RUNNING,71.6,2.7,84.9
2024-01-15 01:00:00,MC002,111.7,0,32952,RUNNING,83.3,1.6,84.2
2024-01-15 01:00:00,MC003,82.9,0,25491,RUNNING,73.9,1.4,85.5
2024-01-15 01:05:00,MC001,79.4,0,33735,RUNNING,69.7,2.0,77.8
2024-01-15 01:05:00,MC002,115.4,0,33529,RUNNING,78.6,2.2,87.0
2024-01-15 01:05:00,MC003,82.5,0,25903,RUNNING,69.9,2.5,85.1
2024-01-15 01:10:00,MC001,80.3,0,34136,RUNNING,72.4,1.8,78.7
2024-01-15 01:10:00,MC002,106.3,0,34060,RUNNING,84.8,1.9,80.1
2024-01-15 01:10:00,MC003,79.9,0,26302,RUNNING,67.9,2.5,82.4
2024-01-15 01:15:00,MC001,85.8,0,34565,RUNNING,72.5,1.6,84.1
2024-01-15 01:15:00,MC002,109.8,0,34609,RUNNING,77.2,1.7,82.8
2024-01-15 01:15:00,MC003,74.4,0,26674,RUNNING,66.9,1.8,76.7
